
Host: DatNguyenPC

Timers On : Tue Jun  4 14:44:11 2024
Timers Off: Tue Jun  4 14:57:49 2024

Wall Time:      818.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: initialize()                   :      0.000u      0.000s     15.369w    187 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      3.325w   3179 calls
| DFH: AO Construction              :      0.000u      0.000s      1.287w    187 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      1.169w    187 calls
HF: Form core H                     :      0.000u      0.000s      1.496w    187 calls
HF: Form S/X                        :      0.000u      0.000s      0.193w    187 calls
HF: Guess                           :      0.000u      0.000s     62.390w    187 calls
| SAD Guess                         :      0.000u      0.000s     62.273w    132 calls
HF: Form G                          :      0.000u      0.000s    121.084w   2039 calls
| RV: Form V                        :      0.000u      0.000s    108.731w   2039 calls
| | Properties                      :    275.045p                         2076636 calls
| | Functional                      :    556.283p                         2076636 calls
| | V_xc                            :    436.894p                         2076636 calls
| JK: D                             :      0.000u      0.000s      0.049w   2039 calls
| JK: USO2AO                        :      0.000u      0.000s      0.007w   2039 calls
| JK: JK                            :      0.000u      0.000s     12.066w   2039 calls
| | DFH: compute_JK()               :      0.000u      0.000s     12.041w   2039 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w   2039 calls
| | | DFH: compute_J                :      0.000u      0.000s      2.018w   2039 calls
| | | DFH: compute_K                :      0.000u      0.000s      4.655w   2039 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w   2039 calls
HF: Form F                          :      0.000u      0.000s      0.092w   2039 calls
HF: Form D                          :      0.000u      0.000s      0.035w   2039 calls
HF: DIIS                            :      0.000u      0.000s      8.632w   1907 calls
HF: Form C                          :      0.000u      0.000s      1.991w   1907 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.578w    184 calls
Grad: S                             :      0.000u      0.000s      0.715w    184 calls
Grad: JK                            :      0.000u      0.000s    166.064w    184 calls
| JKGrad: Amn                       :      0.000u      0.000s      8.996w    184 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      3.046w    184 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w    184 calls
| JKGrad: AB                        :      0.000u      0.000s      6.950w    184 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.306w   2944 calls
| JKGrad: UV                        :      0.000u      0.000s    137.558w    184 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.845w    184 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.045w    184 calls
| JKGrad: Amnx                      :      0.000u      0.000s     11.025w    184 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      3.037w    184 calls
Grad: XC                            :      0.000u      0.000s     31.719w    184 calls
| Properties                        :    144.290p                         188338 calls
| Functional                        :     80.427p                         188338 calls
| V_xc gradient                     :    113.335p                         188338 calls

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 18:50:00 2024
Timers Off: Tue Jun  4 19:12:48 2024

Wall Time:     1367.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s     15.453w    343 calls
build grid                          :      0.000u      0.000s      5.545w    343 calls
post-process grid                   :      0.000u      0.000s      9.842w    343 calls
DFH: sparsity prep                  :      0.000u      0.000s      8.158w    343 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s     23.190w  12634 calls
DFH: initialize()                   :      0.000u      0.000s     28.596w    343 calls
DFH: AO Construction                :      0.000u      0.000s      2.404w    343 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      2.210w    343 calls
HF: Form core H                     :      0.000u      0.000s      2.971w    343 calls
HF: Form S/X                        :      0.000u      0.000s      0.302w    343 calls
HF: Guess                           :      0.000u      0.000s    112.482w    343 calls
SAD Guess                           :      0.000u      0.000s    112.267w    232 calls
HF: Form G                          :      0.000u      0.000s    206.946w   3662 calls
RV: Form V                          :      0.000u      0.000s    183.601w   3662 calls
Properties                          :    713.242p                         4145709 calls
Functional                          :   1104.956p                         4145709 calls
V_xc                                :    753.072p                         3792566 calls
JK: D                               :      0.000u      0.000s      0.076w   3662 calls
JK: USO2AO                          :      0.000u      0.000s      0.174w   3662 calls
JK: JK                              :      0.000u      0.000s     22.225w   3662 calls
DFH: compute_JK()                   :      0.000u      0.000s     22.172w   3662 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.004w   3662 calls
DFH: compute_J                      :      0.000u      0.000s      3.590w   3662 calls
DFH: compute_K                      :      0.000u      0.000s      8.199w   3662 calls
JK: AO2USO                          :      0.000u      0.000s      0.205w   3662 calls
HF: Form F                          :      0.000u      0.000s      0.131w   3662 calls
HF: Form D                          :      0.000u      0.000s      0.063w   3662 calls
HF: DIIS                            :      0.000u      0.000s     14.860w   3430 calls
HF: Form C                          :      0.000u      0.000s      3.388w   3430 calls
Grad: V T Perturb                   :      0.000u      0.000s      2.974w    340 calls
Grad: S                             :      0.000u      0.000s      1.384w    340 calls
Grad: JK                            :      0.000u      0.000s    307.965w    340 calls
JKGrad: Amn                         :      0.000u      0.000s     16.674w    340 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w    340 calls
JKGrad: AB                          :      0.000u      0.000s     13.140w    340 calls
JKGrad: UV                          :      0.000u      0.000s    255.148w    340 calls
JKGrad: ABx                         :      0.000u      0.000s      1.572w    340 calls
JKGrad: Amnx                        :      0.000u      0.000s     20.184w    340 calls
Grad: XC                            :      0.000u      0.000s     54.778w    340 calls
V_xc gradient                       :    195.943p                         353143 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s     15.453w    343 calls
| build grid                        :      0.000u      0.000s      5.545w    343 calls
| post-process grid                 :      0.000u      0.000s      9.842w    343 calls
DFH: sparsity prep                  :      0.000u      0.000s      8.158w    343 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      5.538w    343 calls
DFH: initialize()                   :      0.000u      0.000s     28.596w    343 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      6.005w   5831 calls
| DFH: AO Construction              :      0.000u      0.000s      2.404w    343 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      2.210w    343 calls
HF: Form core H                     :      0.000u      0.000s      2.971w    343 calls
HF: Form S/X                        :      0.000u      0.000s      0.302w    343 calls
HF: Guess                           :      0.000u      0.000s    112.482w    343 calls
| SAD Guess                         :      0.000u      0.000s    112.267w    232 calls
HF: Form G                          :      0.000u      0.000s    206.946w   3662 calls
| RV: Form V                        :      0.000u      0.000s    183.601w   3662 calls
| | Properties                      :    459.291p                         3792566 calls
| | Functional                      :    969.244p                         3792566 calls
| | V_xc                            :    753.072p                         3792566 calls
| JK: D                             :      0.000u      0.000s      0.076w   3662 calls
| JK: USO2AO                        :      0.000u      0.000s      0.174w   3662 calls
| JK: JK                            :      0.000u      0.000s     22.225w   3662 calls
| | DFH: compute_JK()               :      0.000u      0.000s     22.172w   3662 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.004w   3662 calls
| | | DFH: compute_J                :      0.000u      0.000s      3.590w   3662 calls
| | | DFH: compute_K                :      0.000u      0.000s      8.199w   3662 calls
| JK: AO2USO                        :      0.000u      0.000s      0.205w   3662 calls
HF: Form F                          :      0.000u      0.000s      0.131w   3662 calls
HF: Form D                          :      0.000u      0.000s      0.063w   3662 calls
HF: DIIS                            :      0.000u      0.000s     14.860w   3430 calls
HF: Form C                          :      0.000u      0.000s      3.388w   3430 calls
Grad: V T Perturb                   :      0.000u      0.000s      2.974w    340 calls
Grad: S                             :      0.000u      0.000s      1.384w    340 calls
Grad: JK                            :      0.000u      0.000s    307.965w    340 calls
| JKGrad: Amn                       :      0.000u      0.000s     16.674w    340 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      5.490w    340 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w    340 calls
| JKGrad: AB                        :      0.000u      0.000s     13.140w    340 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.577w   5440 calls
| JKGrad: UV                        :      0.000u      0.000s    255.148w    340 calls
| JKGrad: ABx                       :      0.000u      0.000s      1.572w    340 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.088w    340 calls
| JKGrad: Amnx                      :      0.000u      0.000s     20.184w    340 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      5.493w    340 calls
Grad: XC                            :      0.000u      0.000s     54.778w    340 calls
| Properties                        :    253.951p                         353143 calls
| Functional                        :    135.713p                         353143 calls
| V_xc gradient                     :    195.943p                         353143 calls

**************************************************************************************
